date,환테크
2023-02-04,4.75825
2023-02-05,5.83269
2023-02-06,6.90713
2023-02-07,7.5211
2023-02-08,7.21412
2023-02-09,5.75594
2023-02-10,4.75825
2023-02-11,2.76285
2023-02-12,3.76055
2023-02-13,5.29547
2023-02-14,5.98618
2023-02-15,5.83269
2023-02-16,7.67459
2023-02-17,6.75364
2023-02-18,3.60706
2023-02-19,3.06983
2023-02-20,5.75594
2023-02-21,4.60475
2023-02-22,4.98848
2023-02-23,6.06293
2023-02-24,6.29316
2023-02-25,3.22333
2023-02-26,3.53031
2023-02-27,5.21872
2023-02-28,5.5257
2023-03-01,5.6792
2023-03-02,4.52801
2023-03-03,4.37452
2023-03-04,3.22333
2023-03-05,3.45356
2023-03-06,4.6815
2023-03-07,4.14428
2023-03-08,7.82808
2023-03-09,4.83499
2023-03-10,5.06523
2023-03-11,2.99309
2023-03-12,2.99309
2023-03-13,5.06523
2023-03-14,5.21872
2023-03-15,5.98618
2023-03-16,5.29547
2023-03-17,6.13967
2023-03-18,4.14428
2023-03-19,2.8396
2023-03-20,6.21642
2023-03-21,4.22102
2023-03-22,3.76055
2023-03-23,7.13737
2023-03-24,5.06523
2023-03-25,3.91404
2023-03-26,3.76055
2023-03-27,4.52801
2023-03-28,2.76285
2023-03-29,3.60706
2023-03-30,4.60475
2023-03-31,2.45587
2023-04-01,2.60936
2023-04-02,2.14888
2023-04-03,4.52801
2023-04-04,4.22102
2023-04-05,4.37452
2023-04-06,5.06523
2023-04-07,3.45356
2023-04-08,1.76515
2023-04-09,2.76285
2023-04-10,4.14428
2023-04-11,2.6861
2023-04-12,2.99309
2023-04-13,3.99079
2023-04-14,5.14198
2023-04-15,2.99309
2023-04-16,1.99539
2023-04-17,3.99079
2023-04-18,5.21872
2023-04-19,3.76055
2023-04-20,3.6838
2023-04-21,4.22102
2023-04-22,2.45587
2023-04-23,1.91864
2023-04-24,2.91634
2023-04-25,3.6838
2023-04-26,3.53031
2023-04-27,3.14658
2023-04-28,3.45356
2023-04-29,1.61166
2023-04-30,2.45587
2023-05-01,3.22333
2023-05-02,5.14198
2023-05-03,4.98848
2023-05-04,2.8396
2023-05-05,1.22793
2023-05-06,2.6861
2023-05-07,2.53261
2023-05-08,3.53031
2023-05-09,3.14658
2023-05-10,3.45356
2023-05-11,4.06753
2023-05-12,2.99309
2023-05-13,1.76515
2023-05-14,1.91864
2023-05-15,2.53261
2023-05-16,3.22333
2023-05-17,3.06983
2023-05-18,5.14198
2023-05-19,4.6815
2023-05-20,2.53261
2023-05-21,3.22333
2023-05-22,6.5234
2023-05-23,10.89792
2023-05-24,5.60245
